input_channel_id,E[X],E[Xs],W,W_scaled,scale
86,-0.006883735,-0.19813438,0.05713,0.0019848158,0.034742758
87,-0.010572897,-0.25031373,0.0188,0.0007940359,0.042238586
88,-0.0012513554,-0.037352547,0.012146,0.00040690554,0.033501208
89,-0.017006928,-0.48188078,0.02295,0.00080994243,0.03529281
90,-0.0061179856,-0.19757047,0.00806,0.00024948266,0.030966092
91,0.008576735,0.17954701,0.04272,0.0020409008,0.04776874
92,0.0053298906,0.15612032,0.0459,0.0015669559,0.034139637
93,-0.012380888,-0.34225732,-0.01929,-0.0006976959,0.036174208
94,-0.010839649,-0.25349748,0.02124,0.0009082405,0.04276038
95,0.00021369407,0.006364945,0.0669,0.0022458897,0.033573594
96,-0.0032590257,-0.10359202,0.03247,0.0010215348,0.0314602
97,0.006017816,0.15757866,0.0293,0.0011188266,0.03818928
98,0.020089725,0.49355796,0.006866,0.00027949136,0.04070388
99,-0.0024159988,-0.064410426,0.03418,0.0012820609,0.037509438
100,0.015714746,0.44630784,-0.0781,-0.0027508244,0.035210554
101,0.02470127,0.84118307,0.01111,0.0003261972,0.029364916
102,-0.018847534,-0.43959692,-0.0155,-0.0006646816,0.042874582
103,0.0015854138,0.0429085,0.00464,0.00017139295,0.03694871
104,-0.0211827,-0.4274547,0.06226,0.0030851155,0.049555425
105,-0.013468852,-0.36196244,0.004364,0.00016238772,0.037210636
106,0.032214563,0.63121593,0.02612,0.0013332088,0.05103573
107,-0.0014087283,-0.043890014,-0.05127,-0.0016455872,0.032096785
108,-0.008973,-0.21002138,-0.003143,-0.0001342955,0.042724222
109,-0.015311461,-0.42397293,-0.0282,-0.0010183582,0.036114242
110,0.03480995,0.6704443,0.0669,0.0034732122,0.05192072
111,0.013463725,0.39793837,-0.0337,-0.0011399047,0.033833694
112,0.0151053965,0.4808584,-0.01697,-0.0005330154,0.0314134
113,-0.10820766,-1.017931,0.04907,0.0052164583,0.10630156
114,0.012202113,0.4048396,-0.04077,-0.0012288775,0.03014061
115,-0.008707913,-0.21820982,0.0354,0.0014126931,0.039906144
116,-0.017892951,-0.53756523,-0.007996,-0.0002661351,0.03328517
117,0.0016977807,0.04950663,0.02881,0.0009879621,0.034294005
118,0.0360172,0.94871485,0.0879,0.0033366976,0.037964202
119,0.003479599,0.10236234,-0.01978,-0.0006722241,0.03399296
120,-0.0030596058,-0.09278733,0.06934,0.0022863103,0.032974392
121,-0.011508085,-0.3395134,0.02112,0.0007158175,0.03389582
122,0.010988447,0.2762592,-0.03857,-0.0015343225,0.039775856
123,0.026553394,0.604649,-0.012634,-0.00055483915,0.043915384
124,0.014135174,0.37715685,0.01758,0.00065879716,0.03747824
125,0.021575172,0.5603247,-0.00836,-0.00032196977,0.038504764
126,-0.0036269992,-0.109081194,-0.0232,-0.00077118975,0.033250455
127,0.032705292,1.0063149,0.02283,0.00074188365,0.03250006
128,-0.028182305,-0.7316717,0.0737,0.0028399273,0.03851769
129,0.008065812,0.24667247,-0.03564,-0.0011655217,0.03269847
130,0.0017952776,0.047023565,-0.004364,-0.00016661042,0.038178254
131,-0.001953191,-0.058415577,-0.01843,-0.0006163154,0.03343613
132,0.03206034,0.88058466,-0.01337,-0.000486655,0.036408015
133,-0.013251056,-0.43941894,0.00958,0.0002889691,0.03015586
134,0.017405534,0.42289063,0.01544,0.00063556485,0.041158475
135,0.012028563,0.37196657,0.03223,0.0010421346,0.03233775
136,0.014424916,0.3008249,0.0908,0.004354943,0.047951203
137,-0.033017077,-0.87850404,0.02722,0.0010230804,0.037583295
138,-0.018937211,-0.47789168,0.04663,0.0018478213,0.039626576
139,-0.015229734,-0.4046333,-0.01758,-0.0006616118,0.03763836
140,0.022644859,0.5680138,0.04224,0.0016838248,0.03986674
141,0.0076573817,0.21080534,-0.02124,-0.00077153917,0.03632442
142,0.005383151,0.16196756,0.0481,0.001598508,0.033235982
143,-0.001957485,-0.05816716,0.02307,0.0007764124,0.033652753
144,0.026239812,0.58098084,0.05225,0.002359678,0.04516468
145,-0.0034859614,-0.115163475,0.01514,0.0004581836,0.030269679
146,0.00083422614,0.023817953,-0.01166,-0.0004083126,0.035025097
147,-0.011802948,-0.33455265,-0.0786,-0.0027734602,0.03527979
148,0.009852344,0.2522104,-0.00525,-0.00020504778,0.039063986
149,0.016879532,0.3017871,-0.0718,-0.0040146443,0.05593192
150,-0.006727153,-0.16643716,0.01196,0.000483523,0.040418576
151,-0.0031343168,-0.07889379,-0.0108,-0.00042919378,0.03972831
152,-0.008876023,-0.21465039,-0.01758,-0.0007268743,0.04135107
153,-0.0021685099,-0.054857247,-0.05737,-0.0022679595,0.039530054
154,0.01334423,0.39023456,-0.0542,-0.0018533644,0.03419541
155,0.039473843,1.0144306,0.06396,0.0024890201,0.038912315
156,0.0037568402,0.10015836,-0.0559,-0.002097061,0.037509
157,-0.0040964624,-0.098818116,-0.04468,-0.0018520962,0.04145457
158,0.015171929,0.3740874,-0.0249,-0.0010099688,0.04055718
159,0.012558527,0.29478458,0.03223,0.0013729286,0.04260239
160,0.003838682,0.1098756,-0.03076,-0.0010747105,0.03493662
161,-0.0027057407,-0.07944036,0.0801,0.002727463,0.034060024
162,0.0019358922,0.054714635,-0.0708,-0.002505046,0.035381615
163,0.005676338,0.14347439,0.02527,0.0009997105,0.039563425
164,0.009292584,0.22842562,0.03467,0.0014103279,0.040681005
165,-0.009284621,-0.24060312,-0.006897,-0.00026614693,0.03858895
166,0.013477783,0.3871744,-0.003448,-0.000120043966,0.034810625
167,0.023395235,0.48518047,0.005066,0.0002442768,0.048219655
168,-0.024576563,-0.6502557,0.03247,0.0012272377,0.03779523
169,0.009913498,0.25473484,-0.05396,-0.002099766,0.038916927
170,-0.011325875,-0.3094561,-0.0238,-0.000871199,0.036599293
171,0.00077925,12.506261,-0.0381,-2.3730888e-06,6.230879e-05
172,0.004270102,0.100254245,-0.0991,-0.004221838,0.04259273
173,0.003817513,0.117511384,0.0013275,4.312607e-05,0.032486323
174,0.017687198,0.48294893,0.08545,0.0031294348,0.03662333
175,0.012399021,0.31874534,0.01794,0.0006980249,0.038899455
176,-0.014358213,-0.3761102,0.05542,0.002115686,0.03817555
177,0.02311185,0.6665679,-0.01282,-0.000444416,0.034672912
178,0.0041456884,0.1186608,0.02124,0.0007420765,0.034937304
179,-0.021239014,-0.43527046,0.005127,0.00025016957,0.04879498
180,-0.01500393,-0.4209832,-0.03955,-0.0014095982,0.03564021
181,0.0047773905,0.12717475,-0.01251,-0.00047002806,0.03756556
182,-0.0012138312,-0.037614,0.07275,0.0023478216,0.03227073
183,-0.00603263,-0.20014903,0.01111,0.0003348148,0.03014069
184,0.00016393248,0.004540819,-0.01471,-0.0005310408,0.03610196
185,-0.019070415,-0.46811834,0.001289,5.2526837e-05,0.04073845
186,-0.0017718622,-0.045908503,0.02905,0.0011213052,0.038595513
187,0.005179269,0.15615928,-0.03064,-0.0010162123,0.033166576
188,-0.0028229388,-0.08139957,-0.04102,-0.0014224228,0.034680024
189,-0.012394021,-0.29350668,-0.000946,-3.994901e-05,0.04222739
190,0.0008932699,0.022621492,-0.006012,-0.00023739837,0.039487664
191,-0.0074538616,-0.23053977,0.03442,0.0011129986,0.032332215
192,-0.008835127,-0.2516015,0.06836,0.0024004776,0.03511556
193,-0.011452302,-0.35415772,-0.03125,-0.0010105228,0.03233673
